tuple_number	diff_direction	requirement_id	object_kind	database_name	schema_name	object_identity	owner_identity	grantee_identity	privilege	grantable	hierarchy_inheritance_flag	object_acl_type_code	classification	first_authorizing_migration_or_contract	055_effect	later_reauthorizing_migration_or_contract	checked_in_evidence	rationale	post_h1_composition_disposition
15	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.capability	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
16	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.capability	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
17	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.capability	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
18	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.cause_kind	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
19	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.cause_kind	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
20	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.cause_kind	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
21	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.diagnostic_code	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
22	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.diagnostic_code	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
23	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.diagnostic_code	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
24	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.dispatch_attempt_id	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
25	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.dispatch_attempt_id	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
26	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.dispatch_attempt_id	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
27	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.dispatch_attempt_outcome_id	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
28	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.dispatch_attempt_outcome_id	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
29	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.dispatch_attempt_outcome_id	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
30	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.operational_campaign_id	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
31	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.operational_campaign_id	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
32	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.operational_campaign_id	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
33	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.operational_request_id	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
34	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.operational_request_id	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
35	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.operational_request_id	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
36	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.outcome	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
37	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.outcome	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
38	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.outcome	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
39	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.prior_version	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
40	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.prior_version	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
41	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.prior_version	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
42	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.replay_disposition	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
43	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.replay_disposition	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
44	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.replay_disposition	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
45	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.resulting_version	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
46	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.resulting_version	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
47	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.resulting_version	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
48	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.accepting_actor_identity	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
49	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.action_contract_version	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
50	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.action_kind	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
51	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.authorization_event_id	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
52	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.authorization_identity_canonical	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
53	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.authorization_identity_hash	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
54	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.campaign_identity_canonical	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
